Date,TVL_sum
2022-03-16,1.125120676959747957021748468127362757488836899071010097646036289277108433304961e+11
2022-03-17,1.011190363213029570817813887652016824135470751008008775122859184469758328154307e+11
2022-03-18,9.858332407478869848664476615426441408323439275915082348160321049351802075302073e+10
2022-03-19,8.161442470052499382506324861028528279694752439117839290939570733525419738889532e+10
2022-03-20,8.065512886389603408742413817378166859633963841632297727908869816700376550017129e+10
2022-03-21,7.951548212855467838931634886145909746345088293602736559947642304915171499507316e+10
2022-03-22,8.594786469553896312836054010998111783298039259448236503924058409354913836099166e+10
2022-03-23,8.334565356292638009185556716612896560739723322006379652894537093859224371200626e+10
2022-03-24,8.448244113589837501903232716035280079025921388206241446861741419314966285845386e+10
2022-03-25,9.06320786704196871391602180348109172232778699389353947337414043209699929581644e+10
2022-03-26,7.601637174780814383611488765276535190811739310836247592826075490229801975624629e+10
2022-03-27,8.539556072769289118359280743401969785233738974165586174650706464312285879679229e+10
2022-03-28,9.970672906298274339863173377342737763192875940399216598420468973523887691364229e+10
2022-03-29,1.134015554966586756955067449824515908352209053650672438249926720826630597567139e+11
2022-03-30,9.187917285307128663927281215834479018045215483617323986669764866567452876172914e+10
2022-03-31,9.259967918489644428355601316443970263167224160503030454958193287071025672696725e+10
2022-04-01,1.117314020406003593832566821577204389924030537378695276684167081713726033885511e+11
2022-04-02,1.097634960530745054602826382662154475766608208251832356815350034652276800898805e+11
2022-04-03,1.052291342333237306803487008543374168549400174440339372938305402007264139479974e+11
2022-04-04,1.188771306717299858324548032940420032000247432926703868540133948424987063005753e+11
2022-04-05,1.001939332662229806989467420568855888367976880226508267901337951805336693642343e+11
2022-04-06,1.181021884515638315035990019490158202171999642546458577682549674419058918699817e+11
2022-04-07,1.303823409945491476189961783840652994603391047846876256691541623528193495057393e+11
2022-04-08,9.04978919641993356898207408956460205450809567535037903989377034447744087377008e+10
2022-04-09,7.325285084044528845532139986958170951747650373053946582883751390595813948242953e+10
2022-04-10,7.28910549525858632981055497894886434307612181669906181302849072403250122711922e+10
2022-04-11,1.240637962212290708992896787823558376937591717306251867206177134484458566504677e+11
2022-04-12,9.547391666443650597154101835347204513273053118142422769917952848630563996243861e+10
2022-04-13,8.724995381146523551975498980375389917758705573677674441092224774865627471419326e+10
2022-04-14,9.021896914587972065045333733806123427567021963732485363850707132778918675200549e+10
2022-04-15,9.489456828523819483466636088404903531716427943723657509252296549823801024405774e+10
2022-04-16,1.058089026346643756663251293454276717149892800217719769521882258626198610519098e+11
2022-04-17,3.416825942739578792238907900580758790254406539383707877335175175821526605048243e+11
2022-04-18,2.496483437258129078925126158310570598739850269265769939552347650148135797152385e+11
2022-04-19,2.592023467001030143248014427740019447407069664635897050045179184141483934757197e+11
2022-04-20,1.913746242908877395135597334545303151918369724214963206230669404915384972325806e+11
2022-04-21,2.845412742939412580363150990983493515399946898354863544694731362323273408627076e+11
2022-04-22,1.773397402393797716402294176138450269035674470914098500486446678371814688309149e+11
2022-04-23,1.904014228233799644391820206553946416197991926586643982516505530042831290037554e+11
2022-04-24,1.752882209068893163681348402006674081484995384685971089849144811427087193173648e+11
2022-04-25,1.625769972518275961764264147630132367625122258452474778424857714926322722866777e+11
2022-04-26,1.441085938173160922181346823074854544316394787585592822964385082166867090527229e+11
2022-04-27,1.408224604224947320066951079324632592941059423549999507367089893141087653567673e+11
2022-04-28,1.531996432318765780077565670147523825018996331064793739058248821427360921379265e+11
2022-04-29,1.513612455264455028763487863500925043480607127825275618355553594936088795418575e+11
2022-04-30,1.416802434712183553353994066753137231869988933191020003158057989614702959160868e+11
2022-05-01,1.070683986897009931378898921328374239877094096461379476517276474781268983588985e+11
2022-05-02,1.138556328312958951225804209380116487859112298848415833918998319037763721248347e+11
2022-05-03,1.132700562593113759929551486897430607908915185772346293139345454178004053944415e+11
2022-05-04,1.350549033900139663312034705641268639011953301248196959642743542723350023354438e+11
2022-05-05,1.913640660903314835603229871167014671659215206144676791312063535160799868650063e+11
2022-05-06,1.696066480228408362443561516341442204572914090020650070032739427985558873877641e+11
2022-05-07,1.12655953774969680706943713036378975938159355604815956921569407342466346325869e+11
2022-05-08,1.514875177748899452663202231587319220551797910482416531980956466313901304282793e+11
2022-05-09,2.470611412469259994837661124331191961389240389856078374218308126991106102257439e+11
2022-05-10,2.0422170996537423256213397189907537432129305199937622026632540314727767893687e+11
2022-05-11,2.953984408107053877064233443009881343470631036919030495830085970959130863973544e+11
2022-05-12,3.109604236274509280862306466316445205572643947919063741428475363421276375987573e+11
2022-05-13,2.39635309271708033775430307708003532220474356746992374308385868019503011556267e+11
2022-05-14,1.851654675194179044859842656246820945629285520700488194151408539177600358766899e+11
2022-05-15,1.996054427700474897925778638738274467904721154321303397789254942072686686574726e+11
2022-05-16,1.61156220277364498534070864549027776391703871993613670437641236919794335712723e+11
2022-05-17,1.637570659756532393893154733889861938386214477510368748244319180890784569057461e+11
2022-05-18,1.675033571148844923537292470168991334823363549088559285262866836802300642328036e+11
2022-05-19,1.615847327685526740005896013283579524390319497084848064563630825803713840306064e+11
2022-05-20,1.199238462369383679949137729124271705942832425463485384149089107751763179087658e+11
2022-05-21,1.05404186040693216463829023350286469088006399657145046267732534678123361662767e+11
